Hardware Version,Software Version,Tested for Near Ultrasonic Attack (To Date),Ref Videos
Amazon Echo (1st Generation),669701420,,
Amazon Echo (2nd Generation),8960323972,,
Amazon Echo (3rd Generation),8960323972,,
Amazon Echo (4th Generation),8960323972,,
Amazon Smart Oven,304093220,,
Amazon Smart Plug,205000009,,
Amazon Smart Thermostat,16843520,,
Amazon Tap,663643820,,
AmazonBasics Microwave,212004520,,
Echo Auto,33882158,x,"https://deeperbrain.com/us/alexa_auto2.mp4
https://deeperbrain.com/us/alexa_auto1.mp4"
Echo Buds (1st Generation),318119151,,
Echo Buds (2nd Generation),603594926,,
Echo Buds Charging Case (1st Generation),303830987,,
Echo Buds Charging Case (2nd Generation),603594924,,
Echo Connect,100170020,,
Echo Dot (1st Generation),669701420,,
Echo Dot (2nd Generation),8960323972,X,https://deeperbrain.com/us/alexa2.mp4 https://deeperbrain.com/us/weather_trojan.m4v
Echo Dot (3rd Generation),8960323972,X,https://deeperbrain.com/us/mcguire.mp4  https://deeperbrain.com/us/alexa2.mp4 
Echo Dot (3rd Generation) with clock,8960323972,,
Echo Dot (4th Generation),8960323972,,
Echo Dot (4th Generation)  Kids Edition,5470238340,,
Echo Dot (4th Generation) with clock,8960323972,,
Echo Dot Kids Edition (2018 Edition),649649820,,
Echo Dot Kids Edition (2019 Edition),5470237316,,
Echo Flex,8960323972,,
Echo Frames (1st Gen),1177303,,
Echo Frames (2nd Gen),2293706,,
Echo Glow,101000004,,
Echo Input,8960323972,,
Echo Link,8087717252,,
Echo Link Amp,8087717252,,
Echo Look,642553020,,
Echo Loop, 1.1.3750.0,,
Echo Plus (1st Generation),683785720,,
Echo Plus (2nd Generation),8960323972,x,https://deeperbrain.com/us/help.mp4
Echo Show (1st Generation),683785820,,
Echo Show (2nd Generation),683785820,,
Echo Show 10 (3rd Generation),27549192068,,
Echo Show 15,27549192068,,
Echo Show 5 (1st Generation),8960324484,,
Echo Show 5 (2nd Generation),8960324484,,
Echo Show 5 (2nd Generation) Kids,5470238340,,
Echo Show 8 (1st Generation),8960324484,,
Echo Show 8 (2nd Generation),27549192068,,
Echo Spot,683785820,,
Echo Studio,8960323972,,
Echo Sub,8960323972,,
Echo Wall Clock,102,,
